2025-10-22 10:28:34 | INFO     | __init__             | 📀 Database inicializado: C:\Users\matheus\code\lol_api_v2\data\lol_odds.db
2025-10-22 10:28:34 | INFO     | run                  | ============================================================
2025-10-22 10:28:34 | INFO     | run                  | 🚀 INICIANDO ATUALIZAÇÃO DO BANCO DE ODDS LOL
2025-10-22 10:28:34 | INFO     | run                  | ============================================================
2025-10-22 10:28:34 | INFO     | _fetch_events        | 
📅 FASE 1: Buscando eventos...
2025-10-22 10:28:34 | INFO     | fetch_upcoming_events | 🔍 Buscando eventos para os próximos 10 dias
2025-10-22 10:28:34 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-22
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events |    ✅ 2 jogos de LoL encontrados
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-23
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events |    ✅ 2 jogos de LoL encontrados
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-24
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events |    ✅ 2 jogos de LoL encontrados
2025-10-22 10:28:35 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-25
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum jogo de LoL encontrado
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-26
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum jogo de LoL encontrado
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-27
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum evento encontrado para 20251027
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-28
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum evento encontrado para 20251028
2025-10-22 10:28:36 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-29
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum jogo de LoL encontrado
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-30
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum evento encontrado para 20251030
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-10-31
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum jogo de LoL encontrado
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-11-01
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum evento encontrado para 20251101
2025-10-22 10:28:37 | INFO     | fetch_upcoming_events | 📊 Total de eventos encontrados: 6
2025-10-22 10:28:37 | INFO     | save_events          | 📝 Eventos processados - Novos: 0, Existentes: 6, Atualizados: 0
2025-10-22 10:28:37 | INFO     | _fetch_events        | ✅ Fase 1 concluída - 0 novos eventos adicionados
2025-10-22 10:28:37 | INFO     | _update_odds         | 
💰 FASE 2: Atualizando odds...
2025-10-22 10:28:37 | INFO     | fetch_and_save_odds  | 💰 Coletando odds para 85 eventos em lotes de 10
2025-10-22 10:28:37 | INFO     | fetch_and_save_odds  |    📦 Processando lote 1/9
2025-10-22 10:28:39 | INFO     | fetch_and_save_odds  |    📦 Processando lote 2/9
2025-10-22 10:28:40 | INFO     | fetch_and_save_odds  |    📦 Processando lote 3/9
2025-10-22 10:28:42 | INFO     | fetch_and_save_odds  |    📦 Processando lote 4/9
2025-10-22 10:28:43 | INFO     | fetch_and_save_odds  |    📦 Processando lote 5/9
2025-10-22 10:28:44 | INFO     | fetch_and_save_odds  |    📦 Processando lote 6/9
2025-10-22 10:28:45 | INFO     | fetch_and_save_odds  |    📦 Processando lote 7/9
2025-10-22 10:28:47 | INFO     | fetch_and_save_odds  |    📦 Processando lote 8/9
2025-10-22 10:28:48 | INFO     | fetch_and_save_odds  |    📦 Processando lote 9/9
2025-10-22 10:28:49 | INFO     | fetch_and_save_odds  | 📊 Coleta finalizada: 85/85 eventos com odds
2025-10-22 10:28:49 | INFO     | _update_odds         | ✅ Fase 2 concluída - 85 eventos com odds atualizadas
2025-10-22 10:28:49 | INFO     | _show_dashboard      | 💾 Dashboard salvo em: C:\Users\matheus\code\lol_api_v2\reports\dashboard_20251022_102849.txt
2025-10-22 10:28:49 | INFO     | run                  | 
✅ ATUALIZAÇÃO COMPLETA EM 15.1 SEGUNDOS
2025-10-22 10:28:49 | INFO     | run                  | 🔌 Conexões fechadas
